,zcmb,mb,dmb,errors
537,0.01291,14.78769588470459,0.1613609939813614,0.18992868065834045
538,0.28332,21.338775634765625,0.1167372465133667,0.13212576508522034
539,0.66259,23.703763961791992,0.10754401981830597,0.11648193001747131
540,0.02547,14.78769588470459,0.1613609939813614,0.18992868065834045
541,0.3374,21.79944610595703,0.11492134630680084,0.129123717546463
542,0.70116,23.832292556762695,0.10706721246242523,0.11559060215950012
543,0.46109,22.853073120117188,0.11076788604259491,0.12225785851478577
544,0.2798,21.308788299560547,0.11685547232627869,0.13232138752937317
545,0.03827,16.05116081237793,0.13793623447418213,0.16612854599952698
546,0.1808,20.290250778198242,0.12087692320346832,0.1389470398426056
547,0.92891,24.591224670410156,0.1042521595954895,0.11032798886299133
548,0.15517,19.865142822265625,0.12256767600774765,0.14169040322303772
549,0.1219,19.266462326049805,0.12494635581970215,0.14555755257606506
550,0.69391,23.80813217163086,0.10715702176094055,0.11575821042060852
551,0.2006,20.565868377685547,0.11978510022163391,0.1371610462665558
552,0.44238,22.693695068359375,0.1113964170217514,0.12329593300819397
553,0.8292,24.258962631225586,0.10548460483551025,0.11263206601142883
554,0.38048,22.166412353515625,0.11347492039203644,0.1267324984073639
555,0.5025,23.17029571533203,0.10952284932136536,0.12018099427223206
556,0.62116,23.56570816040039,0.10805630683898926,0.11743953824043274
557,0.3606,21.9970703125,0.11414229869842529,0.12783601880073547
558,0.3473,21.883773803710938,0.11458902060985565,0.128574401140213
559,0.2006,20.565868377685547,0.11978510022163391,0.1371610462665558
560,0.4267,22.560131072998047,0.1119229644536972,0.12416699528694153
561,0.24643,21.0245361328125,0.11797572672367096,0.1341738998889923
