zcmb,mb,dmb,errors
0.80691,24.2544,0.1837,0.1847389238899047
0.50016,23.0505,0.13595,0.1365424201484652
0.53316,22.9345,0.1665,0.16713485573033532
0.82116,24.1676,0.18525,0.18650705750721608
0.12516,19.4684,0.10355,0.10394122137054192
0.44316,22.57415,0.1349,0.1353830676266423
0.68339,23.9441,0.2905,0.29079175538518964
0.72639,23.90005,0.1628,0.16347863774817797
0.40439,22.44625,0.1075,0.10785974689382503
0.69038,23.7527,0.18375,0.184210524943609
0.57639,23.2437,0.1229,0.12365993692380729
0.72039,23.87645,0.2029,0.20342340081711346
0.55091,23.16815,0.1249,0.1255471624530001
0.8489,24.3105,0.16975,0.17089778377732112
0.43591,22.36675,0.109,0.10986352898027625
0.30191,21.64245,0.0939,0.09411129050225589
0.58119,23.52355,0.1372,0.13784701665251953
0.34621,22.11525,0.111,0.11130826564096667
0.3312,21.7829,0.10685,0.10703633728785754
0.44939,22.78895,0.14135,0.14169907374432622
0.2916,21.47215,0.12535,0.12551580577759916
0.46109,22.62945,0.13775,0.13797179965485704
0.63291,23.66065,0.20445,0.20515556902019502
0.26891,21.1762,0.0993,0.09950298990482648
0.92591,24.7416,0.1923,0.19351480563512446
0.62591,23.46015,0.1303,0.13134783972338487
0.60891,23.3767,0.1266,0.1273668324172349
0.57891,23.2373,0.13895,0.13960760187038526
0.7202,23.82525,0.2057,0.20620973546367785
0.7672,24.24705,0.1593,0.1600738267175493
0.3682,22.24455,0.1019,0.10257231595318496
0.8492,24.33175,0.14855,0.14985657309574377
0.77721,24.0942,0.17835,0.17910861927891691
0.58421,23.2686,0.09915,0.10001878573548072
0.5892,23.30085,0.13005,0.13069643262155245
0.7692,24.2078,0.16885,0.16959271063344675
0.5142,23.12745,0.1329,0.1339378027294759
0.63821,23.37,0.2329,0.2334710581635334
0.43521,22.5623,0.1145,0.115300997393778
0.58421,23.46355,0.14025,0.14086552985027956
0.66259,23.74875,0.17955,0.18009037314637336
0.62116,23.4108,0.1628,0.16357953722883556
0.41616,22.5154,0.11755,0.11788696916962452
0.45117,22.36265,0.1377,0.13802430945308147
0.73316,24.04855,0.24055,0.24100214210666263
0.74116,24.26275,0.21515,0.21565608616498633
0.34916,21.74,0.12,0.12023040380868726
0.51416,23.18845,0.1355,0.13655533676865214
0.64339,23.60755,0.1943,0.19492814060571143
0.4704,22.65205,0.12925,0.12946463802907726
0.26338,21.15515,0.1079,0.1080686818648215
0.7424,23.92255,0.19885,0.19939803785393675
0.91039,24.6116,0.16365,0.16492630930206376
0.3374,21.9137,0.10655,0.10678516985049938
0.98339,24.92305,0.1439,0.14615709014618483
0.81338,24.26675,0.14105,0.14253749506708752
0.8174,24.3431,0.12085,0.12267364223825752
0.96038,24.5736,0.1577,0.15963202999398335
0.75639,24.03965,0.1583,0.1590257054692731
0.87891,24.42165,0.14325,0.1445211662698582
0.80991,24.20795,0.1668,0.1679874102425536
0.62791,23.4134,0.138,0.13903618234114457
0.93491,24.7653,0.2009,0.2021607281348185
0.69791,23.78265,0.16195,0.162482560602669
0.76791,24.3849,0.17855,0.1792434029469425
0.86491,24.39625,0.15285,0.15405147678617043
0.51491,22.98745,0.11725,0.1184491135467041
0.47091,23.1005,0.141,0.14119644117328167
0.92891,24.7789,0.1829,0.18421057244360325
0.6312,23.4092,0.1432,0.14422863793297086
0.6162,23.56625,0.1433,0.1440764206940192
0.5652,23.2891,0.13595,0.13656043533908346
0.55819,23.2494,0.1349,0.1354870288994485
0.7362,24.06925,0.19205,0.19261524472377567
0.2622,21.15835,0.1082,0.10836533117192049
0.7622,23.97575,0.15445,0.15521777443321366
0.8592,24.54425,0.17845,0.17949499296637775
0.5592,23.6061,0.15165,0.15217388902173723
0.48016,22.74835,0.1138,0.1140969543852946
0.92116,24.57175,0.18725,0.18846947365554986
0.47516,22.6952,0.109,0.10927485987179301
0.89216,24.5781,0.1577,0.15890077092324004
0.63116,23.1617,0.17705,0.1778682166661599
0.73516,24.02845,0.2108,0.21131497817239553
0.41816,22.38625,0.1152,0.1155674262065224
0.53516,22.98355,0.1266,0.12739801803795847
0.73416,24.09175,0.17825,0.1788591275277837
0.60916,23.5447,0.14865,0.14932138996138497
0.70116,23.8387,0.16475,0.16528756002797065
0.98216,24.78095,0.143,0.14526737417603441
0.75816,24.0557,0.15165,0.1524184782104847
0.64339,23.6045,0.2013,0.2019063644365873
0.51539,23.02365,0.1762,0.17703825857706576
0.80538,24.0139,0.1301,0.13155664179356358
0.80039,23.82255,0.1606,0.16171085306806096
0.71538,23.84395,0.19425,0.19476535241156218
0.76639,24.2307,0.1806,0.1812833969231601
0.90139,24.5128,0.1511,0.15240536407882763
0.71839,23.68915,0.15095,0.15163603628425534
0.57938,23.1779,0.1197,0.12045048775326732
0.96038,24.80925,0.14255,0.1446844238333899
0.64839,23.53665,0.159,0.15971610751580442
0.93639,24.4717,0.1405,0.1423457235044313
0.46138,22.76265,0.11115,0.11142251792164813
0.67039,23.78495,0.1775,0.17800660100119883
0.24639,21.16055,0.10805,0.10825418005786196
0.63892,23.49005,0.184,0.18471691855376973
0.53591,23.06945,0.11085,0.11176957322992694
0.77391,24.17605,0.17625,0.17699137690859404
0.37091,22.15255,0.1043,0.10510723095962524
0.69992,23.88895,0.1728,0.1733041401698182
0.37391,22.11185,0.1039,0.10466532377057838
0.85391,24.3052,0.1508,0.15206081020433895
0.60392,23.58805,0.1429,0.1435333759095772
